Type of Adjective,Adjective (masc form),Word order,Sentence,Note
post-nominal,sueco,N+Adj,Una mujer puso el reloj sueco en la caja,
post-nominal,estadounidense,N+Adj,El empleado ve el avión estadounidense en el aeropuerto,
post-nominal,sueco,N+Adj,Un deportista ondea la bandera sueca por el aire,
post-nominal,estadounidense,N+Adj,Un hombre compra el coche estadounidense del concesionario,
post-nominal,holandés,N+Adj,El chico cocina un desayuno holandés en la mañana,
post-nominal,holandés,N+Adj,La madre regala un collar holandés a su hija,
post-nominal,alemán,N+Adj,Un estudiante lee un libro alemán en el tren,
post-nominal,alemán,N+Adj,La familia hospeda un estudiante alemán por el año,
post-nominal,eléctrico,N+Adj,El niño recibe un escúter eléctrico para su cumpleaños,
post-nominal,elástico,N+Adj,Una niña rompe la cinturilla elástica durante práctica,
post-nominal,elástico,N+Adj,Un corredor lleva una vincha elástica para el campeonato,
post-nominal,eléctrico,N+Adj,La chica usa una linterna eléctrica durante el atardecer,
post-nominal,acrílica,N+Adj,Un artista usa la pintura acrílica para un cuadro,
post-nominal,acrílica,N+Adj,La adolescente obtiene las uñas acrílicas para el baile,
post-nominal,cubano,N+Adj,Un turista mira el pájaro cubano en el árbol,
post-nominal,brasileño,N+Adj,El equipo gana el campeonato brasileño por primera vez,
post-nominal,belga,N+Adj,El dueño alquila el edificio belga por el verano,
post-nominal,turca,N+Adj,Un adolescente trae una toalla turca a la playa,
post-nominal,argentino,N+Adj,Un restaurante prepara el té argentino con varias hierbas,
post-nominal,chileno,N+Adj,Un padre bebe el vino chileno en el restaurante,
no change,rubio,N+Adj,Una niña juega con el perro rubio en el patio,
no change,gris,N+Adj,Un hombre tiñe el pelo gris en la peluquería,
no change,rojo,N+Adj,El chico pone una cobija roja en su cama,
no change,rojo,N+Adj,El perro muerde la pelota roja en el dormitorio,
no change,gris,N+Adj,Una estudiante abrió la mochila gris en su escritorio,
no change,azul,N+Adj,El campista ve el cielo azul por las nubes,
no change,azul,N+Adj,El custodio lleva el uniforme azul en el hospital,
no change,blanco,N+Adj,Un artista cubre el papel blanco con color,
no change,negro,N+Adj,Un escritor utiliza una pluma negra en la cafetería,
no change,negro,N+Adj,El interiorista cuelga el cuadro negro en la habitación,
no change,blanco,N+Adj,El corredor compra un reloj blanco en la tienda,
no change,verde,N+Adj,Un niño escoge la pintura verde para el cuarto,
no change,verde,N+Adj,El chef corta la hierba verde en la cocina,
no change,marrón,N+Adj,El científico hierve el líquido marrón en el laboratorio,
no change,amarillo,N+Adj,El maestro usa un lápiz amarillo con un borrador,
no change,amarillo,N+Adj,Una mamá cuelga una hamaca amarilla en el bosque,
no change,morado,N+Adj,Un jardinero recoge la flor morada del jardín,
no change,rubio,N+Adj,El peluquero cepilla el pelo rubio de la niña,
no change,morado,N+Adj,Una chica ama el vestido morado de la tienda,
no change,marrón,N+Adj,Un deportista monta una bicicleta marrón en la carrera,
change,viejo,N+Adj,La mecánica ve la amiga vieja en el bosque,
change,viejo,N+Adj,La hija captura su pájaro viejo en sus manos,
change,viejo,N+Adj,Un asistente visita la librería vieja en el centro,
change,viejo,N+Adj,Un adolecente conduce el coche viejo por las calles,
change,solo,N+Adj,El parque tiene una persona sola en la tarde,
change,solo,N+Adj,El dentista programa un chico solo para una cita,
change,solo,N+Adj,La madre adopta la gata sola del refugio,
change,solo,N+Adj,El libro describe un pintor solo de una ciudad,
change,mismo,N+Adj,Una cirujana marca la piel misma con un marcador,
change,mismo,N+Adj,Un hombre dibuja el tatuaje mismo en el brazo,
change,mismo,N+Adj,El peluquero corta el pelo mismo en la mañana,
change,mismo,N+Adj,Una abogada crea el documento mismo para el cliente,
change,pobre,N+Adj,La enfermera ayuda el paciente pobre con simpatía,
change,pobre,N+Adj,Una alarma notifica el estudiante pobre del tiempo,
change,pobre,N+Adj,Un asistente encuentra el científico pobre en el laboratorio,
change,pobre,N+Adj,El jefe quiere el trabajador pobre para los sábados,
change,alto,N+Adj,La película tiene una chica alta como protagonista,
change,alto,N+Adj,El joyero ayuda un hombre alto en la tienda,
change,alto,N+Adj,Una sastre mide la mujer alta para el vestido,
change,alto,N+Adj,El soldado saluda el coronel alto en la fortaleza,
pre-nominal,menos,N+Adj,El solicitante tiene oportunidades menos que el otro,
pre-nominal,bastante,N+Adj,La hormiga tiene comida bastante para el invierno,
pre-nominal,dos,N+Adj,Un nadador pasa horas dos en el lago,
pre-nominal,poco,N+Adj,La receta requiere experiencia poca en la cocina,
pre-nominal,seis,N+Adj,El veterinario tiene animales seis en casa,
pre-nominal,unos,N+Adj,Una mujer corta verduras unas para la cena,
pre-nominal,cinco,N+Adj,El turista visita estados cinco en el verano,
pre-nominal,unos,N+Adj,Una chica compra caramelos unos en la tienda,
pre-nominal,demasiado,N+Adj,La piscina es profunda demasiada para el niño,"Do not use, this is adverb+adjective, not noun+adjective"
pre-nominal,mucho,N+Adj,El crítico ve muchas películas cada semana,
pre-nominal,doce,N+Adj,Un excursionista camina millas doce en las montañas,
pre-nominal,algún,N+Adj,Un detective encuentra conexión alguna entre los cuentos,
pre-nominal,este,N+Adj,La cantante escoge canción esta para cada boda,
pre-nominal,ese,N+Adj,Un ingeniero conduce coche ese sin gas,
pre-nominal,viente,N+Adj,El pueblo tiene residentes veinte en total,
pre-nominal,este,N+Adj,El niño lee cuento este para la escuela,
pre-nominal,cuatro,N+Adj,La niña hace cosas cuatro de sus quehaceres,
pre-nominal,aquel,N+Adj,El científico completa experimento aquel en el laboratorio,
pre-nominal,ese,N+Adj,Un historiador estudia guerra esa para su tesis,
pre-nominal,tres,N+Adj,Un chico come manzanas tres durante el almuerzo,
post-nominal,sueco,Adj+N,Una mujer puso el sueco reloj en la caja,
post-nominal,estadounidense,Adj+N,El empleado ve el estadounidense avión en el aeropuerto,
post-nominal,sueco,Adj+N,Un deportista ondea la sueca bandera por el aire,
post-nominal,estadounidense,Adj+N,Un hombre compra el estadounidense coche del concesionario,
post-nominal,holandés,Adj+N,El chico cocina un holandés desayuno en la mañana,
post-nominal,holandés,Adj+N,La madre regala un holandés collar a su hija,
post-nominal,alemán,Adj+N,Un estudiante lee un alemán libro en el tren,
post-nominal,alemán,Adj+N,La familia hospeda un alemán estudiante por el año,
post-nominal,eléctrico,Adj+N,El niño recibe un eléctrico escúter para su cumpleaños,
post-nominal,elástico,Adj+N,Una niña rompe la elástica cinturilla durante práctica,
post-nominal,elástico,Adj+N,Un corredor lleva una elástica vincha para el campeonato,
post-nominal,eléctrico,Adj+N,La chica usa una eléctrica linterna durante el atardecer,
post-nominal,acrílica,Adj+N,Un artista usa la acrílica pintura para un cuadro,
post-nominal,acrílica,Adj+N,La adolescente obtiene las acrílicas uñas para el baile,
post-nominal,cubano,Adj+N,Un turista mira el cubano pájaro en el árbol,
post-nominal,brasileño,Adj+N,El equipo gana el brasileño campeonato por primera vez,
post-nominal,belga,Adj+N,El dueño alquila el belga edificio por el verano,
post-nominal,turca,Adj+N,Un adolescente trae una turca toalla a la playa,
post-nominal,argentino,Adj+N,Un restaurante prepara el argentino té con varias hierbas,
post-nominal,chileno,Adj+N,Un padre bebe el chileno vino en el restaurante,
no change,rubio,Adj+N,Una niña juega con el rubio perro en el patio,
no change,gris,Adj+N,Un hombre tiñe el gris pelo en la peluquería,
no change,rojo,Adj+N,El chico pone una roja cobija en su cama,
no change,rojo,Adj+N,El perro muerde la roja pelota en el dormitorio,
no change,gris,Adj+N,Una estudiante abrió la gris mochila en su escritorio,
no change,azul,Adj+N,El campista ve el azul cielo por las nubes,
no change,azul,Adj+N,El custodio lleva el azul uniforme en el hospital,
no change,blanco,Adj+N,Un artista cubre el blanco papel con color,
no change,negro,Adj+N,Un escritor utiliza una negra pluma en la cafetería,
no change,negro,Adj+N,El interiorista cuelga el negro cuadro en la habitación,
no change,blanco,Adj+N,El corredor compra un blanco reloj en la tienda,
no change,verde,Adj+N,Un niño escoge la verde pintura para el cuarto,
no change,verde,Adj+N,El chef corta la verde hierba en la cocina,
no change,marrón,Adj+N,El científico hierve el marrón líquido en el laboratorio,
no change,amarillo,Adj+N,El maestro usa un amarillo lápiz con un borrador,
no change,amarillo,Adj+N,Una mamá cuelga una amarilla hamaca en el bosque,
no change,morado,Adj+N,Un jardinero recoge la morada flor del jardín,
no change,rubio,Adj+N,El peluquero cepilla el rubio pelo de la niña,
no change,morado,Adj+N,Una chica ama el morado vestido de la tienda,
no change,marrón,Adj+N,Un deportista monta una marrón bicicleta en la carrera,
change,viejo,Adj+N,La mecánica ve la vieja amiga en el bosque,
change,viejo,Adj+N,La hija captura su viejo pájaro en sus manos,
change,viejo,Adj+N,Un asistente visita la vieja librería en el centro,
change,viejo,Adj+N,Un adolecente conduce el viejo coche por las calles,
change,solo,Adj+N,El parque tiene una sola persona en la tarde,
change,solo,Adj+N,El dentista programa un solo chico para una cita,
change,solo,Adj+N,La madre adopta la sola gata del refugio,
change,solo,Adj+N,El libro describe un solo pintor de una ciudad,
change,mismo,Adj+N,Una cirujana marca la misma piel con un marcador,
change,mismo,Adj+N,Un hombre dibuja el mismo tatuaje en el brazo,
change,mismo,Adj+N,El peluquero corta el mismo pelo en la mañana,
change,mismo,Adj+N,Una abogada crea el mismo documento para el cliente,
change,pobre,Adj+N,La enfermera ayuda el pobre paciente con simpatía,
change,pobre,Adj+N,Una alarma notifica el pobre estudiante del tiempo,
change,pobre,Adj+N,Un asistente encuentra el pobre científico en el laboratorio,
change,pobre,Adj+N,El jefe quiere el pobre trabajador para los sábados,
change,alto,Adj+N,La película tiene una alta chica como protagonista,
change,alto,Adj+N,El joyero ayuda un alto hombre en la tienda,
change,alto,Adj+N,Una sastre mide la alta mujer para el vestido,
change,alto,Adj+N,El soldado saluda el alto coronel en la fortaleza,
pre-nominal,menos,Adj+N,El solicitante tiene menos oportunidades que el otro,
pre-nominal,bastante,Adj+N,La hormiga tiene bastante comida para el invierno,
pre-nominal,dos,Adj+N,Un nadador pasa dos horas en el lago,
pre-nominal,poco,Adj+N,La receta requiere poca experiencia en la cocina,
pre-nominal,seis,Adj+N,El veterinario tiene seis animales en casa,
pre-nominal,unos,Adj+N,Una mujer corta unas verduras para la cena,
pre-nominal,cinco,Adj+N,El turista visita cinco estados en el verano,
pre-nominal,unos,Adj+N,Una chica compra unos caramelos en la tienda,
pre-nominal,demasiado,Adj+N,La piscina es demasiada profunda para el niño,"Do not use, this is adverb+adjective, not noun+adjective"
pre-nominal,mucho,Adj+N,El crítico ve películas muchas cada semana,
pre-nominal,doce,Adj+N,Un excursionista camina doce millas en las montañas,
pre-nominal,algún,Adj+N,Un detective encuentra alguna conexión entre los cuentos,
pre-nominal,este,Adj+N,La cantante escoge esta canción para cada boda,
pre-nominal,ese,Adj+N,Un ingeniero conduce ese coche sin gas,
pre-nominal,viente,Adj+N,El pueblo tiene veinte residentes en total,
pre-nominal,este,Adj+N,El niño lee este cuento para la escuela,
pre-nominal,cuatro,Adj+N,La niña hace cuatro cosas de sus quehaceres,
pre-nominal,aquel,Adj+N,El científico completa aquel experimento en el laboratorio,
pre-nominal,ese,Adj+N,Un historiador estudia esa guerra para su tesis,
pre-nominal,tres,Adj+N,Un chico come tres manzanas durante el almuerzo,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,